# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  06:58:28    277 mW   1612 mW      0 mW    559 mW    669 mW    883 mW     26 mW    283 mW      4 mW      4 mW      0 mW
  06:58:28   2931 mW   3118 mW      0 mW   5493 mW   2863 mW   3993 mW    949 mW    363 mW      4 mW      4 mW      0 mW
  06:58:28   5449 mW   3082 mW      0 mW  11615 mW   5009 mW   7726 mW   2585 mW    366 mW      5 mW      2 mW      0 mW
  06:58:29   4832 mW   3802 mW      0 mW  11085 mW   4831 mW   7406 mW   2289 mW    345 mW      5 mW      5 mW      0 mW
  06:58:29   4464 mW   5872 mW      0 mW  10078 mW   4657 mW   6710 mW   2038 mW    317 mW      2 mW      5 mW      0 mW
  06:58:30   4670 mW   3078 mW      0 mW   9676 mW   4400 mW   6392 mW   2072 mW    296 mW      4 mW      4 mW      0 mW
  06:58:30   5049 mW   3454 mW      0 mW  10734 mW   4838 mW   7095 mW   2414 mW    183 mW      5 mW      2 mW      0 mW
  06:58:31   4859 mW   2147 mW      0 mW   9647 mW   4320 mW   6400 mW   2106 mW    261 mW      5 mW      5 mW      0 mW
  06:58:31    790 mW   1561 mW      0 mW   3025 mW   1595 mW   2112 mW    720 mW    267 mW      4 mW      4 mW      0 mW
  06:58:32     35 mW   1192 mW      0 mW    308 mW    591 mW    567 mW      4 mW    261 mW      2 mW      4 mW      0 mW
  06:58:32     36 mW   1366 mW      0 mW    394 mW    664 mW    708 mW      4 mW    335 mW      4 mW      4 mW      0 mW
