attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
2,measured,56,28261,26405574148666,26405574196750,26405574198750,2000,6208,1917,90208,98333
2,measured,57,28261,26405576586083,26405576632500,26405576634208,1708,6834,2125,75750,84709
2,measured,58,28261,26405579076208,26405579126291,26405579128291,2000,6042,1792,104583,112417
2,measured,59,28261,26405581729791,26405581780333,26405581782291,1958,8208,1875,105667,115750
2,measured,60,28261,26405584361083,26405584408458,26405584410291,1833,6792,2250,82292,91334
2,measured,61,28261,26405586699666,26405586748250,26405586749958,1708,6833,2500,86375,95708
2,measured,62,28261,26405588937833,26405588987666,26405588989375,1709,7917,2125,80875,90917
2,measured,63,28261,26405591123083,26405591174166,26405591175958,1792,8167,2333,82167,92667
2,measured,64,28261,26405593541666,26405593589916,26405593591625,1709,7125,2125,83625,92875
2,measured,65,28261,26405595903541,26405595952333,26405595954083,1750,7166,2500,82000,91666
2,measured,66,28261,26405598141166,26405598190333,26405598191958,1625,7708,2167,82083,91958
2,measured,67,28261,26405600485083,26405600534125,26405600536000,1875,7250,2208,85625,95083
2,measured,68,28261,26405602770125,26405602818625,26405602820541,1916,6875,2250,84500,93625
2,measured,69,28261,26405605089625,26405605138416,26405605140083,1667,7458,2084,80625,90167
2,measured,70,28261,26405607343750,26405607392708,26405607394375,1667,7375,2333,80125,89833
2,measured,71,28261,26405609749666,26405609798125,26405609799750,1625,7500,2083,85042,94625
2,measured,72,28261,26405612045541,26405612093583,26405612095458,1875,7000,2459,81416,90875
2,measured,73,28261,26405614267333,26405614316500,26405614318333,1833,7375,2292,81666,91333
2,measured,74,28261,26405616613333,26405616662208,26405616663833,1625,6875,2125,81459,90459
2,measured,75,28261,26405618898208,26405618947250,26405618949000,1750,7667,2208,80875,90750
2,measured,76,28261,26405621173458,26405621223666,26405621225375,1709,7084,4083,80625,91792
2,measured,77,28261,26405623410833,26405623464291,26405623466041,1750,7208,3167,93416,103791
2,measured,78,28261,26405625807083,26405625854083,26405625855833,1750,7042,2125,82375,91542
2,measured,79,28261,26405628053750,26405628105333,26405628107166,1833,7875,2334,96916,107125
2,measured,80,28261,26405630357750,26405630405208,26405630407041,1833,7208,2250,89792,99250
2,measured,81,28261,26405632544625,26405632591625,26405632593250,1625,6250,2167,67875,76292
2,measured,82,28261,26405634678333,26405634725125,26405634726875,1750,6000,2125,75209,83334
2,measured,83,28261,26405636717166,26405636761625,26405636763500,1875,5500,2291,72042,79833
3,calibration,0,28264,26412769631625,26412773525250,26412773533333,8083,653250,31042,3298375,3982667
3,calibration,1,28264,26412773697583,26412774004208,26412774012166,7958,17625,6375,357583,381583
3,calibration,2,28264,26412774104791,26412774175958,26412774182416,6458,10166,3542,115833,129541
3,calibration,3,28264,26412774251583,26412774539833,26412774547750,7917,11791,2917,341417,356125
3,calibration,4,28264,26412774620791,26412774766583,26412774773041,6458,8416,3167,189500,201083
3,calibration,5,28264,26412774850000,26412775138041,26412775146291,8250,13917,4291,334792,353000
3,calibration,6,28264,26412775219750,26412775310791,26412775317250,6459,9209,2791,140709,152709
3,calibration,7,28264,26412775398000,26412775666250,26412775674416,8166,13583,4292,338333,356208
3,calibration,8,28264,26412775770833,26412775842750,26412775849250,6500,11584,3458,120417,135459
3,calibration,9,28264,26412775921083,26412775993625,26412776000250,6625,9125,3375,123000,135500
3,measured,0,28264,26412781521333,26412781621541,26412781628000,6459,8084,2791,145834,156709
3,measured,1,28264,26412786275208,26412786347958,26412786354375,6417,8042,2375,120708,131125
3,measured,2,28264,26412792404541,26412792471083,26412792477625,6542,9000,2667,116375,128042
3,measured,3,28264,26412796866916,26412796941625,26412796948000,6375,8833,2667,135583,147083
3,measured,4,28264,26412801326708,26412801394458,26412801400625,6167,9000,2417,116750,128167
