axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,217,5589882201500,5589882252333,5589882258583,6250,7083,1834,93791,102708
write_tid_threadcount,32,0,218,5589882417291,5589882468375,5589882474791,6416,6750,2041,101375,110166
write_tid_threadcount,32,0,219,5589882641583,5589882695041,5589882701166,6125,6750,2084,93333,102167
write_tid_threadcount,32,0,220,5589882856666,5589882914250,5589882920666,6416,6916,2042,109417,118375
write_tid_threadcount,32,0,221,5589883104291,5589883162083,5589883168208,6125,7041,1834,110666,119541
write_tid_threadcount,32,0,222,5589883355541,5589883406083,5589883412541,6458,6791,1834,95041,103666
write_tid_threadcount,32,0,223,5589883574375,5589883624916,5589883631125,6209,6917,1875,94041,102833
write_tid_threadcount,32,0,224,5589883791708,5589883841958,5589883848333,6375,6959,1833,93125,101917
write_tid_threadcount,32,0,225,5589884018500,5589884068625,5589884074750,6125,5750,1875,92709,100334
write_tid_threadcount,32,0,226,5589884232958,5589884282166,5589884288541,6375,6834,1875,93875,102584
write_tid_threadcount,32,0,227,5589884445458,5589884502291,5589884508500,6209,6916,2042,109125,118083
write_tid_threadcount,32,0,228,5589884690708,5589884746916,5589884753291,6375,6792,1958,107500,116250
write_tid_threadcount,32,0,229,5589884935458,5589884986208,5589884992375,6167,6792,1875,92417,101084
write_tid_threadcount,32,0,230,5589885148958,5589885198583,5589885205000,6417,6834,1833,96667,105334
write_tid_threadcount,32,0,231,5589885367750,5589885418166,5589885424291,6125,6833,1959,91625,100417
write_tid_threadcount,32,0,232,5589885581416,5589885639916,5589885646250,6334,7167,2208,101875,111250
write_tid_threadcount,32,0,233,5589885821166,5589885876916,5589885883208,6292,5541,1792,107750,115083
write_tid_threadcount,32,0,234,5589886067791,5589886118125,5589886124416,6291,5583,1792,100583,107958
write_tid_threadcount,32,0,235,5589886287041,5589886337250,5589886343500,6250,5500,1750,94250,101500
write_tid_threadcount,32,0,236,5589886500333,5589886556916,5589886563500,6584,6667,2083,107834,116584
write_tid_threadcount,32,0,237,5589886743041,5589886798541,5589886804708,6167,5583,1792,107500,114875
write_tid_threadcount,32,0,238,5589886997458,5589887046166,5589887052583,6417,5541,1709,98958,106208
write_tid_threadcount,32,0,239,5589887214250,5589887264083,5589887270250,6167,5334,1666,93000,100000
write_tid_threadcount,32,0,240,5589887427416,5589887477625,5589887484041,6416,5583,1750,93834,101167
write_tid_threadcount,32,0,241,5589887771583,5589887822083,5589887828375,6292,5625,2250,94166,102041
write_tid_threadcount,32,0,242,5589887982875,5589888031750,5589888038166,6416,5750,1834,102333,109917
write_tid_threadcount,32,0,243,5589888212125,5589888269750,5589888275875,6125,7083,2167,108500,117750
write_tid_threadcount,32,0,244,5589888455000,5589888511208,5589888517541,6333,5667,1708,105125,112500
write_tid_threadcount,32,0,245,5589888680958,5589888731541,5589888737625,6084,5416,1792,95208,102416
write_tid_threadcount,32,0,246,5589888892166,5589888944000,5589888950250,6250,6708,2167,100291,109166
write_tid_threadcount,32,0,247,5589889130500,5589889186666,5589889192791,6125,5625,1750,109084,116459
write_tid_threadcount,32,0,248,5589889359541,5589889410166,5589889416625,6459,5583,1667,94500,101750
write_tid_threadcount,32,0,249,5589889572375,5589889622500,5589889628750,6250,5458,1792,93292,100542
write_tid_threadcount,32,0,250,5589889801125,5589889856166,5589889862625,6459,5375,1833,108125,115333
write_tid_threadcount,32,0,251,5589890038083,5589890094000,5589890100166,6166,5500,1750,108708,115958
write_tid_threadcount,32,0,252,5589890267000,5589890317708,5589890324041,6333,5709,1750,94458,101917
write_tid_threadcount,32,0,253,5589890474000,5589890524208,5589890530333,6125,5500,1792,92958,100250
write_tid_threadcount,32,0,254,5589890701791,5589890755666,5589890762125,6459,5583,1708,107209,114500
write_tid_threadcount,32,0,255,5589890940708,5589890995583,5589891001875,6292,5500,1792,107667,114959
